file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text,reason,score,similar_to
IMG_20190122_0009 (83)_Original.jpeg,5:4,5,0,90,100,Gothic cathedral spires with detailed stonework viewed from a street in Milan,"Crop eliminates distractions from the sides, emphasizing vertical Gothic lines and spires.",8,IMG_20181013_0023_Original.jpeg
IMG_20181014_0067_Original.jpeg,2:3,20,0,60,100,"War memorial tower with crowd gathered at its base, 1945 inscription visible",Tall crop emphasizes the monument's scale and crowd below adds a historical and emotional anchor.,8,
IMG_20181013_0023_Original.jpeg,16:9,5,20,90,60,Four people in elegant coats standing outside vintage French restaurant,"Wide crop balances architecture, signage, and fashion, showcasing post-war French lifestyle.",9,IMG_20190122_0009 (83)_Original.jpeg
IMG_20180918_0004_Original.jpeg,3:4,0,10,100,90,Woman joyfully kicking in a square as others watch from afar,Crop highlights motion and carefree energy of subject while maintaining the surrounding depth.,9,
IMG_20181011_0001_Original.jpeg,4:3,10,20,80,70,Boy sitting casually on a desk in classroom with large chalkboard behind,Framing centers subject and emphasizes his pose and the expanse of the chalkboard backdrop.,7,
IMG_20180918_0017_Original.jpeg,3:2,25,0,60,100,Close-up of woman’s feet in strappy heels on outdoor gravel with striped skirt,Tight crop brings strong fashion detail and texture contrast between the feet and ground.,8,
IMG_20180211_0009_Original.jpeg,4:3,10,15,80,70,Woman on phone in warmly lit living room with vintage decor and silver plates,Crop brings emotional intimacy and frames her face while including enough environment.,8,
IMG_20180211_0007_Original.jpeg,16:9,0,20,100,60,Group walking through grassy field under trees during sunny afternoon,Wide crop draws the eye across the landscape and toward the people for narrative movement.,9,
IMG_20180211_0013_Original.jpeg,2:1,0,20,100,60,Vintage cars parked under large cedar tree in rural Lebanese mountains,Panoramic crop emphasizes scale of cedar tree and car placement for nostalgic composition.,8,
IMG_20180908_0013_Original.jpeg,4:3,10,10,80,80,Woman cooking over charcoal barbecue in lush home garden,"Crop balances smoke, stairs, and woman’s posture in a candid domestic moment.",8,
