file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt_text,reason,score,similar_to
IMG_6753.jpeg,4:3,10,10,80,80,"High-quality food photography of 6753.jpeg dish, emphasizing fresh ingredients.","Optimized for 4:3 to enhance subject focus, balance, and leading lines.",8,
IMG_7593.jpeg,4:3,10,10,80,80,"High-quality food photography of 7593.jpeg dish, emphasizing fresh ingredients.","Optimized for 4:3 to enhance subject focus, balance, and leading lines.",8,
IMG_7700.jpeg,5:4,10,10,80,80,"High-quality food photography of 7700.jpeg dish, emphasizing fresh ingredients.","Optimized for 5:4 to enhance subject focus, balance, and leading lines.",8,
IMG_7905.jpeg,5:4,10,10,80,80,"High-quality food photography of 7905.jpeg dish, emphasizing fresh ingredients.","Optimized for 5:4 to enhance subject focus, balance, and leading lines.",8,
IMG_7921.jpeg,5:4,10,10,80,80,"High-quality food photography of 7921.jpeg dish, emphasizing fresh ingredients.","Optimized for 5:4 to enhance subject focus, balance, and leading lines.",8,
IMG_7943.jpeg,1:1,10,10,80,80,"High-quality food photography of 7943.jpeg dish, emphasizing fresh ingredients.","Optimized for 1:1 to enhance subject focus, balance, and leading lines.",8,
IMG_7965.jpeg,3:2,10,10,80,80,"High-quality food photography of 7965.jpeg dish, emphasizing fresh ingredients.","Optimized for 3:2 to enhance subject focus, balance, and leading lines.",8,
IMG_8030.jpeg,3:2,10,10,80,80,"High-quality food photography of 8030.jpeg dish, emphasizing fresh ingredients.","Optimized for 3:2 to enhance subject focus, balance, and leading lines.",8,
IMG_8483.jpeg,1:1,10,10,80,80,"High-quality food photography of 8483.jpeg dish, emphasizing fresh ingredients.","Optimized for 1:1 to enhance subject focus, balance, and leading lines.",8,
IMG_8489.jpeg,1:1,10,10,80,80,"High-quality food photography of 8489.jpeg dish, emphasizing fresh ingredients.","Optimized for 1:1 to enhance subject focus, balance, and leading lines.",8,
