story_slug,file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt_text,reason,score,similar_to

"timelapse","Cloudy orange sunset to dark on Mediterranean sea - rejected.mp4","16:9","0","25","100","60","Sunset over Mediterranean sea transitioning to night","Kept the horizon aligned in the lower third, with beautiful clouds and gradient sky dominating the frame.","8",""
"timelapse","19090600_1_apo8_prob4.mp4","3:2","10","10","80","80","Street scene with people walking and evening shadows","Focused crop on human activity and depth of street lines for storytelling.","7",
"timelapse","Aerial view of city lights at night clouds passing.mp4","2:1","0","20","100","50","City lights glowing under moving clouds at night","Wide crop to emphasize horizontal sprawl and moody atmosphere.","9",
"timelapse","Cloud frame and mountains timelapse - rejected.mp4","3:4","30","0","40","100","Timelapse clouds rolling over alpine mountains","Tall crop enhances vertical motion of clouds and layering of landscape.","7",
"timelapse","Cascade of pine tree mountains in the mist.mp4","4:3","10","10","80","80","Pine-covered misty mountain range layers","Classic landscape framing with a slightly centered balance for calm atmosphere.","8",
"timelapse","Clouds and mountains timelapse.mp4","5:4","15","5","70","90","Fast-moving clouds over scenic mountain backdrop","Focuses tightly on dynamic sky motion while keeping the mountain base.","8",
"timelapse","A001_11271315_C025.mp4","9:16","0","0","100","100","Vertical shot of modern architecture detail","Used full frame for vertical storytelling; lines guide viewer upward.","7",
"timelapse","A001_11271328_C027.mp4","1:2","20","0","60","100","Tall perspective view of structure or landscape","Narrow vertical to highlight depth and dramatic proportions.","7",
"timelapse","A001_11271326_C026.mp4","3:4","10","0","80","100","Architectural lines and contrast in vertical format","Focused on leading lines from base to top of frame.","6",
"timelapse","IMG_0071.mp4","9:16","30","0","40","100","Vertical video showing movement through natural surroundings","Vertical framing emphasizes upward motion and depth in environment","8"
"timelapse","IMG_9877.mp4","3:4","10","5","80","90","Moody vertical video with slow movement and subtle transitions","3:4 maintains focus on subject while giving breathing space above","7"
"timelapse","Moon moving away dark clouds passing antenna showing_1_apo8_prob4.mp4","2:1","0","20","100","60","Moon slowly drifting with dark clouds and antenna silhouette","Wide cinematic feel enhances contrast and motion of moon and clouds","9"
"timelapse","Sunset to dark timelapse alongside sea pebbles.mp4","16:9","0","30","100","70","Sunset timelapse over rocky shore transitioning into night","Wide format captures full scene and enhances transition of light","10"
"timelapse","Timelapse big sky clouds trespassing the land.mp4","3:2","0","10","100","80","Time-lapse of dramatic clouds moving above landscape","3:2 retains balance between cloud mass and land base","8"
"timelapse","Timelapse clouds covering pine tree forest mountain man-made antenna standing out.mp4","4:3","10","10","80","80","Clouds drifting over pine-covered mountain with antenna silhouette","Framing centers antenna with fog drama, giving a mystical tone","8"
"timelapse","Timelapse clouds passing over huge valley with green trees covering vertical sides (stabilized).mp4","5:4","5","5","90","90","Clouds sweeping across deep forest valley captured in time-lapse","5:4 adds intimacy to vast landscape without flattening depth","9"
"timelapse","Timelapse clouds with soil ground in contrast with green forests large landscape (stabilized).mp4","1:1","20","20","60","60","Balanced square crop showing contrast between soil and forest in timelapse","Square crop highlights visual contrast without distracting elements","7"
"timelapse","Timelapse Laqlouq.mp4","2:3","25","10","50","90","Vertical landscape showing serene timelapse in Laqlouq region","2:3 adds visual height and focuses on center landscape","8"
"timelapse","Timelapse of clouds hittting mountain peak and disappearing before reaching valley on the other side, trees in foreground.mp4","2:1","0","15","100","70","Clouds hitting mountain peaks then disappearing over valley with trees in foreground","Wide cinematic crop captures sweeping motion and drama in cloud movement","9"
"timelapse","Timelapse of clouds pine tree forest road leading to house mountain in the back.mp4","3:2","10","5","80","90","Mountain scene with road, pine trees, and clouds rolling above","Balanced crop with road acting as leading line toward the mountain","8"
"timelapse","Timelapse snow and clouds in Tannourine 2.mp4","5:4","10","20","80","75","Tannourine covered in snow with dramatic cloud motion above","Soft vertical crop complements the vertical layers of snow and sky","8"
"timelapse","Timelapse snow and clouds in Tannourine.mp4","4:3","5","5","90","90","Tannourine valley with snow and clouds slowly evolving","Traditional aspect ratio maintains landscape realism and movement","7"
"timelapse","Timelapse Svaneti Georgia.mp4","1:1","20","20","60","60","Svaneti Georgia mountain range with snow and clouds flowing","Square crop centralizes motion and balances white snow and blue hues","9"
